,Location,Approx_time
0,MAHARASHTRA,3-9 days
1,TELANGANA,3-8 days
2,Hyderabad,3-7 days
3,WEST BENGAL,4-11 days
4,BIHAR,5-11 days
5,Bombay,3-5 days
6,DELHI,5-8 days
7,HARYANA,5-10 days
8,JAMMU AND KASHMIR,6-9 days
9,RAJASTHAN,5-14 days
10,PUNJAB,5-10 days
11,HIMACHAL PRADESH,5-12 days
12,CHANDIGARH,5-9 days
13,UTTAR PRADESH,5-12 days
14,UTTARAKHAND,5-9 days
15,GUJARAT,3-9 days
16,DADRA AND NAGAR HAVELI,3-3 days
17,GOA,3-6 days
18,Pune,3-5 days
19,MADHYA PRADESH,4-11 days
20,CHHATISGARH,4-8 days
21,ANDHRA PRADESH,1-8 days
22,KARNATAKA,1-8 days
23,Bangalore,1-5 days
24,TAMILNADU,1-9 days
25,Chennai,1-3 days
26,PONDICHERRY,1-4 days
27,KERALA,3-7 days
28,Kolkata,4-8 days
29,NAGALAND,8-14 days
30,SIKKIM,7-10 days
31,ODISHA,3-9 days
32,ASSAM,7-14 days
33,ARUNACHAL PRADESH,8-8 days
34,MEGHALAYA,8-11 days
35,MANIPUR,10-10 days
36,MIZORAM,10-14 days
37,TRIPURA,9-10 days
38,JHARKHAND,5-10 days
